,Year,US All CO2 Emissions,North America CO2 Emissions,World CO2 Emissions
0,2016,5160.99085,6259.887391605,35666.079685433
1,2015,5207.386647,6361.994213168,35821.836532028
2,2014,5350.26544,6489.307216961,35878.521381478
3,2013,5301.451176,6446.212971674,35720.130280707
4,2012,5162.563034,6285.648552544,34971.759501502
5,2011,5382.449527,6495.876637412,34218.421810664
6,2010,5514.297402,6609.399167166,32675.600444302
7,2009,5313.844121,6390.364374996,30835.712155833
8,2008,5726.287029,6846.546505475,31050.646687761
9,2007,5919.121363,7052.545199783,30717.366590775
10,2006,5822.296551,6940.233410008,29907.034780385
11,2005,5893.552285,7004.791967717,28985.937407795
12,2004,5873.565342,6967.178749447,27786.318664197
13,2003,5777.692218,6849.018612916,26532.184905548
14,2002,5725.245815,6754.126419499,25275.667736452
15,2001,5685.468162,6704.502633483,24676.753229979
16,2000,5797.902868,6796.492682904,24456.467314369
17,1999,5606.000407,6596.536735108,23686.061387092
18,1998,5562.034442,6537.018472146,23306.259282203
19,1997,5540.323209,6452.896874002,23231.52597719
20,1996,5453.25905,6348.294574485,23156.37263181
21,1995,5268.504798,6138.161525593,22675.014560447
22,1994,5207.495855,6080.321850118,22145.721257089
23,1993,5133.153584,5968.55788168,21988.404993182
24,1992,5015.360229,5870.546593613,21878.948924407
25,1991,4940.382389,5750.13431977,22112.530356974
26,1990,4986.998273,5794.915006851,22901.397232135
27,1989,5022.582146,5823.543191098,22430.01202415
28,1988,4945.244594,5713.461433262,22199.504350774
29,1987,4716.745023,5457.354946246,21504.081129139
30,1986,4569.640248,5275.548640469,20914.750584977
31,1985,4566.098059,5293.964393081,20510.356784616
32,1984,4565.449871,5293.201884257,20057.809889675
33,1983,4361.64536,5025.068833205,19246.7500878
34,1982,4377.203602,5081.846717437,19107.978320255
35,1981,4620.363885,5316.431672424,19145.530756434
36,1980,4768.019214,5433.144146072,19411.272074721
