,Year,TETCB_CA,PATCB_CA,CLTCB_CA,NGTCB_CA
0,2017,7881348,3666908,33663,2188659
1,2016,7819232,3602810,32077,2248939
2,2015,7672710,3494378,30967,2384061
3,2014,7584837,3363800,39486,2409574
4,2013,7638003,3352775,38151,2480792
5,2012,7549440,3308164,43832,2456371
6,2011,7768794,3422952,55264,2196252
7,2010,7760676,3487901,54972,2325411
8,2009,7774309,3492767,52403,2391374
9,2008,8075576,3637655,63050,2472612
10,2007,8260040,3877581,66495,2467545
11,2006,8289269,3865118,67017,2375929
12,2005,8166058,3820634,67422,2304463
13,2004,8260248,3742966,68909,2462247
14,2003,7892261,3570066,69469,2317062
15,2002,8008105,3713354,70010,2318656
16,2001,7955161,3593361,67839,2513856
17,2000,7921270,3576976,70012,2456438
18,1999,7852568,3428613,69547,2379558
19,1998,7831111,3320942,66157,2418688
20,1997,7538784,3299596,82651,2185029
21,1996,7422343,3387573,80324,2017680
22,1995,7297478,3321852,84323,2109956
23,1994,7273603,3307586,84616,2334777
24,1993,7146526,3157627,84669,2213111
25,1992,7308211,3245822,91515,2294135
26,1991,7342269,3254790,89519,2208285
27,1990,7443750,3505561,84160,2101602
28,1989,7420327,3567746,66427,2047845
29,1988,7143783,3515528,50824,1860391
30,1987,6938475,3319791,44951,1992956
31,1986,6501121,3186566,42519,1591045
32,1985,6601489,3125366,45264,1925459
33,1984,6533180,3213001,37243,1739833
34,1983,6092316,2979017,32022,1601037
35,1982,6076050,2874156,69415,1765171
36,1981,6332205,3210880,78401,1947370
37,1980,6540472,3477280,66170,1890887
38,1979,6727621,3733951,68565,1900357
39,1978,6472696,3654422,67892,1646333
40,1977,6361466,3611311,75109,1864187
41,1976,6186312,3244758,66630,1849711
42,1975,6032845,2976517,56405,1937322
43,1974,5816324,2872447,60670,1937140
44,1973,6047069,3048428,66956,2154045
45,1972,5872011,2734460,47452,2303562
46,1971,5747656,2655395,51015,2265324
47,1970,5499139,2502535,61812,2241295
48,1969,5356783,2458067,60031,2189883
49,1968,5115122,2403681,57011,2187260
50,1967,4841003,2251677,53949,2048734
51,1966,4645217,2219598,51515,1982305
52,1965,4385719,2089816,63693,1813213
53,1964,4219633,2027468,53723,1817241
54,1963,3923736,1915789,46127,1623370
55,1962,3724117,1879327,39681,1483423
56,1961,3609108,1892977,59106,1400174
57,1960,3449919,1836912,35903,1301826
